slide17_original_400ms__20180509005623,A1,Block,Column,Row,ID,Name,Type,Exp_Vert:Horiz,Act_Vert:Horiz,Spot_Measure,Bkg_Measure,Exp_Result,Act_Result,Difference,Diameter,Diam_Flag,Bkg_SD,Spot_SD
slide17_original_400ms__20180509005623,A1,1,1,1,FIDUCIALS,,fiducial,249:245,252:244,6157,1369,0,4788,NaN,200,OK,155,5652.339649
slide17_original_400ms__20180509005623,A1,1,2,1,PBST,,blank,249:276,248:275,1518,1461,0,57,NaN,200,OK,356,176.529439
slide17_original_400ms__20180509005623,A1,1,3,1,PBST,,blank,249:308,248:307,1628,1456,0,172,NaN,200,OK,180,187.883784
slide17_original_400ms__20180509005623,A1,1,4,1,PBST,,blank,249:340,249:340,2185,1451,0,734,NaN,200,OK,134,472.929919
slide17_original_400ms__20180509005623,A1,1,5,1,PBST,,blank,249:372,248:371,1772,1589,0,183,NaN,200,OK,428,214.234644
slide17_original_400ms__20180509005623,A1,1,6,1,FIDUCIALS,,fiducial,249:404,250:403,16108,1600,0,14508,NaN,200,OK,212,5825.939323
slide17_original_400ms__20180509005623,A1,1,7,1,PBST,,blank,249:436,248:435,1648,1562,0,86,NaN,200,OK,806,125.847367
slide17_original_400ms__20180509005623,A1,1,8,1,PBST,,blank,249:468,248:467,1743,1563,0,180,NaN,200,OK,194,135.570921
slide17_original_400ms__20180509005623,A1,1,9,1,PBST,,blank,249:500,248:499,1754,1697,0,57,NaN,200,OK,705,99.51252
slide17_original_400ms__20180509005623,A1,1,10,1,FIDUCIALS,,fiducial,249:531,248:531,18034,1858,0,16176,NaN,200,OK,155,5656.453045
slide17_original_400ms__20180509005623,A1,1,11,1,PBST,,blank,249:563,248:562,2025,1796,0,229,NaN,200,OK,1746,226.397032
slide17_original_400ms__20180509005623,A1,1,12,1,PBST,,blank,249:595,248:594,1930,1889,0,41,NaN,200,OK,418,142.760947
slide17_original_400ms__20180509005623,A1,1,13,1,FIDUCIALS,,fiducial,249:627,249:626,14430,1880,0,12550,NaN,200,OK,680,5713.921081
slide17_original_400ms__20180509005623,A1,1,14,1,PBST,,blank,249:659,248:658,1752,1701,0,51,NaN,200,OK,851,188.390736
slide17_original_400ms__20180509005623,A1,1,15,1,PBST,,blank,249:691,248:690,1779,1638,0,141,NaN,200,OK,395,210.202301
slide17_original_400ms__20180509005623,A1,1,16,1,PBST,,blank,249:723,248:722,1779,1670,0,109,NaN,200,OK,715,177.572074
