slide17_original_200ms__20180509004955,A1,Block,Column,Row,ID,Name,Type,Exp_Vert:Horiz,Act_Vert:Horiz,Spot_Measure,Bkg_Measure,Exp_Result,Act_Result,Difference,Diameter,Diam_Flag,Bkg_SD,Spot_SD
slide17_original_200ms__20180509004955,A1,1,1,1,FIDUCIALS,,fiducial,258:244,260:243,2651,651,0,2000,NaN,200,OK,104,3173.884216
slide17_original_200ms__20180509004955,A1,1,2,1,PBST,,blank,258:275,257:274,736,706,0,30,NaN,200,OK,199,102.841352
slide17_original_200ms__20180509004955,A1,1,3,1,PBST,,blank,258:307,257:306,760,705,0,55,NaN,200,OK,121,102.126883
slide17_original_200ms__20180509004955,A1,1,4,1,PBST,,blank,258:339,257:338,1001,725,0,276,NaN,200,OK,73,226.393275
slide17_original_200ms__20180509004955,A1,1,5,1,PBST,,blank,258:371,257:370,860,763,0,97,NaN,200,OK,205,118.320101
slide17_original_200ms__20180509004955,A1,1,6,1,FIDUCIALS,,fiducial,258:403,258:403,11298,769,0,10529,NaN,200,OK,114,6293.424806
slide17_original_200ms__20180509004955,A1,1,7,1,PBST,,blank,258:435,257:434,796,741,0,55,NaN,200,OK,703,64.317133
slide17_original_200ms__20180509004955,A1,1,8,1,PBST,,blank,258:467,257:466,855,757,0,98,NaN,200,OK,111,91.207511
slide17_original_200ms__20180509004955,A1,1,9,1,PBST,,blank,258:499,257:498,861,825,0,36,NaN,200,OK,304,78.123009
slide17_original_200ms__20180509004955,A1,1,10,1,FIDUCIALS,,fiducial,258:531,257:530,13488,901,0,12587,NaN,200,OK,99,6106.290784
slide17_original_200ms__20180509004955,A1,1,11,1,PBST,,blank,258:563,257:562,1007,842,0,165,NaN,200,OK,599,147.149428
slide17_original_200ms__20180509004955,A1,1,12,1,PBST,,blank,258:595,257:594,907,933,0,-26,NaN,200,OK,260,96.476352
slide17_original_200ms__20180509004955,A1,1,13,1,FIDUCIALS,,fiducial,258:627,257:625,7990,923,0,7067,NaN,200,OK,278,5826.892027
slide17_original_200ms__20180509004955,A1,1,14,1,PBST,,blank,258:658,257:657,871,831,0,40,NaN,200,OK,515,118.472819
slide17_original_200ms__20180509004955,A1,1,15,1,PBST,,blank,258:690,257:689,821,789,0,32,NaN,200,OK,226,98.335286
slide17_original_200ms__20180509004955,A1,1,16,1,PBST,,blank,258:722,257:721,884,815,0,69,NaN,200,OK,338,93.993464
slide17_original_200ms__20180509004955,A1,1,17,1,PBST,,blank,258:754,257:753,871,849,0,22,NaN,200,OK,379,83.740434
slide17_original_200ms__20180509004955,A1,1,18,1,FIDUCIALS,,fiducial,258:786,255:785,13873,896,0,12977,NaN,200,OK,162,5935.298583
slide17_original_200ms__20180509004955,A1,1,1,2,PBST,,Analyte,290:244,289:243,826,824,0,2,NaN,200,OK,555,137.000095
slide17_original_200ms__20180509004955,A1,1,2,2,IgG Mix 1,,Analyte,290:275,290:276,13934,917,0,13017,NaN,200,OK,1533,5808.445378
slide17_original_200ms__20180509004955,A1,1,3,2,IgG Mix 0.3,,Analyte,290:307,289:308,5884,929,0,4955,NaN,200,OK,1270,4105.274103
slide17_original_200ms__20180509004955,A1,1,4,2,PBST,,Analyte,290:339,289:338,1251,974,0,277,NaN,200,OK,2203,308.902967
slide17_original_200ms__20180509004955,A1,1,5,2,Hu IgA 0.3,,Analyte,290:371,289:372,9409,901,0,8508,NaN,200,OK,191,5917.190235
slide17_original_200ms__20180509004955,A1,1,6,2,Hu IgA 0.1,,Analyte,290:403,290:403,3363,987,0,2376,NaN,200,OK,837,2821.486951
slide17_original_200ms__20180509004955,A1,1,7,2,PBST,,Analyte,290:435,289:434,874,873,0,1,NaN,200,OK,332,81.038986
slide17_original_200ms__20180509004955,A1,1,8,2,Hu IgM 0.3,,Analyte,290:467,289:467,4693,881,0,3812,NaN,200,OK,469,3767.317109
slide17_original_200ms__20180509004955,A1,1,9,2,Hu IgM 0.1,,Analyte,290:499,289:500,3495,953,0,2542,NaN,200,OK,435,2389.19172
slide17_original_200ms__20180509004955,A1,1,10,2,PBST,,Analyte,290:531,289:530,1287,1015,0,272,NaN,200,OK,399,166.51777
slide17_original_200ms__20180509004955,A1,1,11,2,PBST,,Analyte,290:563,289:562,1065,1051,0,14,NaN,200,OK,3087,166.494735
slide17_original_200ms__20180509004955,A1,1,12,2,NoDNA,,Analyte,290:595,288:595,3692,1008,0,2684,NaN,200,OK,304,1181.127258
slide17_original_200ms__20180509004955,A1,1,13,2,NoDNA,,Analyte,290:627,289:628,4667,1185,0,3482,NaN,200,OK,550,1281.869448
slide17_original_200ms__20180509004955,A1,1,14,2,NoDNA,,Analyte,290:658,288:658,4421,1088,0,3333,NaN,200,OK,663,1249.013088
slide17_original_200ms__20180509004955,A1,1,15,2,NoDNA,,Analyte,290:690,288:691,4191,1007,0,3184,NaN,200,OK,535,1358.899117
slide17_original_200ms__20180509004955,A1,1,16,2,NoDNA,,Analyte,290:722,289:723,4966,1142,0,3824,NaN,200,OK,391,1058.773225
slide17_original_200ms__20180509004955,A1,1,17,2,NoDNA,,Analyte,290:754,288:755,4386,1109,0,3277,NaN,200,OK,816,1272.149609
slide17_original_200ms__20180509004955,A1,1,18,2,NoDNA,,Analyte,290:786,288:786,4933,1065,0,3868,NaN,200,OK,544,1705.953457
slide17_original_200ms__20180509004955,A1,1,1,3,PF10_0138-s1,,Analyte,322:244,322:245,18829,1049,0,17780,NaN,200,OK,2012,4508.213267
slide17_original_200ms__20180509004955,A1,1,2,3,PFB0915w-e2s1,,Analyte,322:275,323:276,23437,1883,0,21554,NaN,200,OK,2906,4820.570735
slide17_original_200ms__20180509004955,A1,1,3,3,PFB0310c-e1,,Analyte,322:307,321:308,20744,1982,0,18762,NaN,200,OK,4786,3723.071634
slide17_original_200ms__20180509004955,A1,1,4,3,PF10_0019.1o1,,Analyte,322:339,322:339,20097,2210,0,17887,NaN,200,OK,4178,1404.75106
slide17_original_200ms__20180509004955,A1,1,5,3,PF11_0395e1s4,,Analyte,322:371,322:373,6298,1366,0,4932,NaN,200,OK,3879,1939.309459
slide17_original_200ms__20180509004955,A1,1,6,3,PF14_0114.1o1,,Analyte,322:403,322:405,11540,1081,0,10459,NaN,200,OK,515,4519.557553
slide17_original_200ms__20180509004955,A1,1,7,3,PFL1745ce2s1,,Analyte,322:435,321:436,5669,1098,0,4571,NaN,200,OK,1156,1934.890889
slide17_original_200ms__20180509004955,A1,1,8,3,PFL0440ce1s1,,Analyte,322:467,321:468,13436,1160,0,12276,NaN,200,OK,647,4561.040042
slide17_original_200ms__20180509004955,A1,1,9,3,PFI0170we1s1,,Analyte,322:499,321:500,14919,1243,0,13676,NaN,200,OK,1367,4874.361591
slide17_original_200ms__20180509004955,A1,1,10,3,PF13_0350,,Analyte,322:531,321:531,6894,1397,0,5497,NaN,200,OK,2424,2473.993756
slide17_original_200ms__20180509004955,A1,1,11,3,PFI1735c(PFE1590w),,Analyte,322:563,321:563,22566,2080,0,20486,NaN,200,OK,1400,2519.113407
slide17_original_200ms__20180509004955,A1,1,12,3,PFL0185c-e3,,Analyte,322:595,321:595,7737,1469,0,6268,NaN,200,OK,4413,2853.426038
slide17_original_200ms__20180509004955,A1,1,13,3,PF14_0316e1s1,,Analyte,322:627,321:627,14329,1491,0,12838,NaN,200,OK,980,4799.528612
slide17_original_200ms__20180509004955,A1,1,14,3,PFL0555ce1s1,,Analyte,322:658,320:658,11438,1319,0,10119,NaN,200,OK,1659,5024.019534
slide17_original_200ms__20180509004955,A1,1,15,3,MAL8P1.4.2o2,,Analyte,322:690,321:689,950,1059,0,-109,NaN,200,OK,1392,137.370114
slide17_original_200ms__20180509004955,A1,1,16,3,PFI0580c-e2,,Analyte,322:722,320:723,4848,1213,0,3635,NaN,200,OK,782,1563.569804
slide17_original_200ms__20180509004955,A1,1,17,3,PF11_0342e1s2,,Analyte,322:754,321:755,15783,1484,0,14299,NaN,200,OK,2143,4068.29564
slide17_original_200ms__20180509004955,A1,1,18,3,PF14_0736-e2,,Analyte,322:786,320:787,11039,1320,0,9719,NaN,200,OK,3190,4518.228456
slide17_original_200ms__20180509004955,A1,1,1,4,PFE0055ce4s1,,Analyte,354:244,354:246,10520,1081,0,9439,NaN,200,OK,1811,3375.853081
slide17_original_200ms__20180509004955,A1,1,2,4,MAL7P1.203_3o8,,Analyte,354:275,354:277,4299,1570,0,2729,NaN,200,OK,2987,1210.982032
slide17_original_200ms__20180509004955,A1,1,3,4,PF10_0281.1o1,,Analyte,354:307,354:309,15362,1588,0,13774,NaN,200,OK,2513,4744.785354
slide17_original_200ms__20180509004955,A1,1,4,4,PFI1015w.1o1,,Analyte,354:339,354:341,9129,1728,0,7401,NaN,200,OK,4194,2713.305815
slide17_original_200ms__20180509004955,A1,1,5,4,PF10_0356-e2s1,,Analyte,354:371,354:373,14571,1492,0,13079,NaN,200,OK,1029,3341.622981
slide17_original_200ms__20180509004955,A1,1,6,4,PF14_0170e1s4,,Analyte,354:403,353:404,5593,1546,0,4047,NaN,200,OK,2598,2350.690906
slide17_original_200ms__20180509004955,A1,1,7,4,PF11_0240e2s2,,Analyte,354:435,353:436,6885,1419,0,5466,NaN,200,OK,945,1747.436276
slide17_original_200ms__20180509004955,A1,1,8,4,PFB0250w.1o1,,Analyte,354:467,353:469,6116,1431,0,4685,NaN,200,OK,1285,2002.982773
slide17_original_200ms__20180509004955,A1,1,9,4,PFL0470we1s1,,Analyte,354:499,352:500,17296,1872,0,15424,NaN,200,OK,2568,4352.1081
slide17_original_200ms__20180509004955,A1,1,10,4,MAL13P1.234-e1s3,,Analyte,354:531,353:532,17150,1843,0,15307,NaN,200,OK,2047,3589.806576
slide17_original_200ms__20180509004955,A1,1,11,4,MAL13P1.234-e1s4,,Analyte,354:563,353:564,18165,2025,0,16140,NaN,200,OK,3482,2858.578969
slide17_original_200ms__20180509004955,A1,1,12,4,PF11_0404e2s3,,Analyte,354:595,353:596,7517,1645,0,5872,NaN,200,OK,2105,2874.499482
slide17_original_200ms__20180509004955,A1,1,13,4,PFC0440ce1s3,,Analyte,354:627,352:627,11524,1635,0,9889,NaN,200,OK,1338,3347.680218
slide17_original_200ms__20180509004955,A1,1,14,4,PFC0130ce1s1,,Analyte,354:658,352:660,13010,1682,0,11328,NaN,200,OK,1174,2884.500147
slide17_original_200ms__20180509004955,A1,1,15,4,PF14_0620-e1,,Analyte,354:690,351:691,5406,1256,0,4150,NaN,200,OK,1814,2191.966733
slide17_original_200ms__20180509004955,A1,1,16,4,PF07_0016-s1,,Analyte,354:722,352:723,5836,1580,0,4256,NaN,200,OK,1504,1379.242274
slide17_original_200ms__20180509004955,A1,1,17,4,PF08_0137e2s2,,Analyte,354:754,351:755,17551,2456,0,15095,NaN,200,OK,2975,2921.381931
slide17_original_200ms__20180509004955,A1,1,18,4,MAL7P1.176-s2,,Analyte,354:786,352:786,22047,2087,0,19960,NaN,200,OK,2653,2340.639478
slide17_original_200ms__20180509004955,A1,1,1,5,PF10_0079-s3,,Analyte,386:244,386:246,7488,949,0,6539,NaN,200,OK,1160,2691.517485
slide17_original_200ms__20180509004955,A1,1,2,5,PF14_0344(PF10_0224e1s3),,Analyte,386:275,387:278,14474,1239,0,13235,NaN,200,OK,1719,4347.870241
slide17_original_200ms__20180509004955,A1,1,3,5,PF11_0302e1s1,,Analyte,386:307,386:309,8695,1279,0,7416,NaN,200,OK,1611,2463.204278
slide17_original_200ms__20180509004955,A1,1,4,5,PF08_0012e1s3,,Analyte,386:339,386:341,5281,1449,0,3832,NaN,200,OK,1042,1423.73373
slide17_original_200ms__20180509004955,A1,1,5,5,PFI0550w-e1s2,,Analyte,386:371,386:373,16672,1713,0,14959,NaN,200,OK,2508,4025.463223
slide17_original_200ms__20180509004955,A1,1,6,5,PF08_0034,,Analyte,386:403,385:404,20925,2055,0,18870,NaN,200,OK,1871,2450.108593
slide17_original_200ms__20180509004955,A1,1,7,5,PFA0410w-s3,,Analyte,386:435,386:437,17405,2266,0,15139,NaN,200,OK,3858,3054.191685
slide17_original_200ms__20180509004955,A1,1,8,5,PF11_0513.2o2,,Analyte,386:467,385:468,12120,2289,0,9831,NaN,200,OK,3822,3994.028147
slide17_original_200ms__20180509004955,A1,1,9,5,PF10_0138(PF10_0356e2s2),,Analyte,386:499,385:499,20768,2598,0,18170,NaN,200,OK,1833,1676.235037
slide17_original_200ms__20180509004955,A1,1,10,5,PF14_0463(PFC0425we1s3),,Analyte,386:531,385:532,12803,1832,0,10971,NaN,200,OK,4344,3965.40547
slide17_original_200ms__20180509004955,A1,1,11,5,PF14_0633e1s1,,Analyte,386:563,385:564,9738,1619,0,8119,NaN,200,OK,1798,3803.220945
slide17_original_200ms__20180509004955,A1,1,12,5,PF14_0465.1o1,,Analyte,386:595,384:596,12080,1534,0,10546,NaN,200,OK,875,4172.169486
slide17_original_200ms__20180509004955,A1,1,13,5,PF11_0245-e1,,Analyte,386:627,384:627,9453,1424,0,8029,NaN,200,OK,1472,3636.724048
slide17_original_200ms__20180509004955,A1,1,14,5,MAL8P1.139-e2s3,,Analyte,386:658,384:660,5474,1607,0,3867,NaN,200,OK,1369,1744.383328
slide17_original_200ms__20180509004955,A1,1,15,5,PFE0570w-s3,,Analyte,386:690,384:692,11599,1401,0,10198,NaN,200,OK,772,4123.382877
slide17_original_200ms__20180509004955,A1,1,16,5,PF10_0356-e1,,Analyte,386:722,384:723,9315,1586,0,7729,NaN,200,OK,1393,3983.278533
slide17_original_200ms__20180509004955,A1,1,17,5,PFL1925we1s1,,Analyte,386:754,384:755,10981,1674,0,9307,NaN,200,OK,1786,3692.82039
slide17_original_200ms__20180509004955,A1,1,18,5,PFI0425w.1o2,,Analyte,386:786,383:787,6055,1553,0,4502,NaN,200,OK,3811,2009.189866
slide17_original_200ms__20180509004955,A1,1,1,6,PF11_0008(PF07_0053e1s1),,Analyte,417:244,418:245,3918,1198,0,2720,NaN,200,OK,4776,1302.974243
slide17_original_200ms__20180509004955,A1,1,2,6,PFD0115c.2o2,,Analyte,417:275,417:277,18144,1451,0,16693,NaN,200,OK,1822,4084.823391
slide17_original_200ms__20180509004955,A1,1,3,6,PFD0710w.1o1,,Analyte,417:307,418:309,6178,1206,0,4972,NaN,200,OK,2227,2490.665869
slide17_original_200ms__20180509004955,A1,1,4,6,PFD1145c.2o2,,Analyte,417:339,417:341,4786,1324,0,3462,NaN,200,OK,767,1520.200885
slide17_original_200ms__20180509004955,A1,1,5,6,PFL0590ce1s1,,Analyte,417:371,418:373,13517,1465,0,12052,NaN,200,OK,2205,4493.933813
slide17_original_200ms__20180509004955,A1,1,6,6,PFC0120we1s1,,Analyte,417:403,418:405,6560,1876,0,4684,NaN,200,OK,3736,2251.939041
