slide17_original_20ms__20180509012535,A1,Block,Column,Row,ID,Name,Type,Exp_Vert:Horiz,Act_Vert:Horiz,Spot_Measure,Bkg_Measure,Exp_Result,Act_Result,Difference,Diameter,Diam_Flag,Bkg_SD,Spot_SD
slide17_original_20ms__20180509012535,A1,1,1,1,FIDUCIALS,,fiducial,252:246,257:244,205,6,0,199,NaN,200,OK,9,355.359205
slide17_original_20ms__20180509012535,A1,1,2,1,PBST,,blank,252:278,254:280,7,12,0,-5,NaN,200,,66,10.723433
slide17_original_20ms__20180509012535,A1,1,3,1,PBST,,blank,252:309,251:300,4,5,0,-1,NaN,200,,8,9.199701
slide17_original_20ms__20180509012535,A1,1,4,1,PBST,,blank,252:341,256:340,15,5,0,10,NaN,200,,8,24.603042
slide17_original_20ms__20180509012535,A1,1,5,1,PBST,,blank,252:373,249:371,7,5,0,2,NaN,200,,38,10.710565
slide17_original_20ms__20180509012535,A1,1,6,1,FIDUCIALS,,fiducial,252:404,253:402,1283,5,0,1278,NaN,200,OK,11,1388.799537
slide17_original_20ms__20180509012535,A1,1,7,1,PBST,,blank,252:436,247:435,5,5,0,0,NaN,200,,19,9.118771
slide17_original_20ms__20180509012535,A1,1,8,1,PBST,,blank,252:468,252:466,9,6,0,3,NaN,200,,9,12.017513
slide17_original_20ms__20180509012535,A1,1,9,1,PBST,,blank,252:499,250:502,7,8,0,-1,NaN,200,OK,351,11.43188
slide17_original_20ms__20180509012535,A1,1,10,1,FIDUCIALS,,fiducial,252:531,252:530,1649,8,0,1641,NaN,200,OK,12,1766.586013
slide17_original_20ms__20180509012535,A1,1,11,1,PBST,,blank,252:562,251:561,10,11,0,-1,NaN,200,OK,92,12.472207
slide17_original_20ms__20180509012535,A1,1,12,1,PBST,,blank,252:594,249:591,11,7,0,4,NaN,200,,14,12.896359
slide17_original_20ms__20180509012535,A1,1,13,1,FIDUCIALS,,fiducial,252:626,253:625,807,14,0,793,NaN,200,OK,36,889.650496
slide17_original_20ms__20180509012535,A1,1,14,1,PBST,,blank,252:657,248:657,5,8,0,-3,NaN,200,OK,32,8.684537
slide17_original_20ms__20180509012535,A1,1,15,1,PBST,,blank,252:689,251:694,5,5,0,0,NaN,200,OK,10,9.131943
slide17_original_20ms__20180509012535,A1,1,16,1,PBST,,blank,252:721,258:722,7,11,0,-4,NaN,200,OK,165,9.178579
slide17_original_20ms__20180509012535,A1,1,17,1,PBST,,blank,252:752,249:746,11,5,0,6,NaN,200,,10,17.35927
slide17_original_20ms__20180509012535,A1,1,18,1,FIDUCIALS,,fiducial,252:784,251:785,1757,10,0,1747,NaN,200,OK,22,1468.822834
slide17_original_20ms__20180509012535,A1,1,1,2,PBST,,Analyte,283:246,286:245,5,18,0,-13,NaN,200,,130,9.259336
slide17_original_20ms__20180509012535,A1,1,2,2,IgG Mix 1,,Analyte,283:278,285:276,1681,19,0,1662,NaN,200,OK,219,1372.945211
slide17_original_20ms__20180509012535,A1,1,3,2,IgG Mix 0.3,,Analyte,283:309,285:307,555,20,0,535,NaN,200,OK,267,559.630813
