slide17_original_300ms__20180509005255,A1,Block,Column,Row,ID,Name,Type,Exp_Vert:Horiz,Act_Vert:Horiz,Spot_Measure,Bkg_Measure,Exp_Result,Act_Result,Difference,Diameter,Diam_Flag,Bkg_SD,Spot_SD
slide17_original_300ms__20180509005255,A1,1,1,1,FIDUCIALS,,fiducial,256:244,259:244,4924,1155,0,3769,NaN,200,OK,131,5207.560131
slide17_original_300ms__20180509005255,A1,1,2,1,PBST,,blank,256:276,255:275,1240,1197,0,43,NaN,200,OK,283,148.289312
slide17_original_300ms__20180509005255,A1,1,3,1,PBST,,blank,256:308,255:307,1308,1200,0,108,NaN,200,OK,163,145.883416
slide17_original_300ms__20180509005255,A1,1,4,1,PBST,,blank,256:340,256:339,1729,1251,0,478,NaN,200,OK,117,354.270498
slide17_original_300ms__20180509005255,A1,1,5,1,PBST,,blank,256:372,255:371,1474,1309,0,165,NaN,200,OK,387,185.194354
slide17_original_300ms__20180509005255,A1,1,6,1,FIDUCIALS,,fiducial,256:404,257:403,16112,1353,0,14759,NaN,200,OK,180,5955.28114
slide17_original_300ms__20180509005255,A1,1,7,1,PBST,,blank,256:436,255:435,1373,1264,0,109,NaN,200,OK,705,107.539799
slide17_original_300ms__20180509005255,A1,1,8,1,PBST,,blank,256:467,255:466,1477,1285,0,192,NaN,200,OK,157,128.977795
slide17_original_300ms__20180509005255,A1,1,9,1,PBST,,blank,256:499,255:498,1481,1415,0,66,NaN,200,OK,413,141.553513
slide17_original_300ms__20180509005255,A1,1,10,1,FIDUCIALS,,fiducial,256:531,255:530,17019,1527,0,15492,NaN,200,OK,147,5857.640201
slide17_original_300ms__20180509005255,A1,1,11,1,PBST,,blank,256:563,255:562,1716,1452,0,264,NaN,200,OK,1183,223.165863
slide17_original_300ms__20180509005255,A1,1,12,1,PBST,,blank,256:595,255:594,1544,1610,0,-66,NaN,200,OK,371,151.156496
slide17_original_300ms__20180509005255,A1,1,13,1,FIDUCIALS,,fiducial,256:627,255:626,12608,1581,0,11027,NaN,200,OK,422,6022.961507
slide17_original_300ms__20180509005255,A1,1,14,1,PBST,,blank,256:659,255:658,1516,1433,0,83,NaN,200,OK,677,172.1615
slide17_original_300ms__20180509005255,A1,1,15,1,PBST,,blank,256:691,255:690,1426,1326,0,100,NaN,200,OK,339,161.175434
