slide17_original_50ms__20180509004422,A1,Block,Column,Row,ID,Name,Type,Exp_Vert:Horiz,Act_Vert:Horiz,Spot_Measure,Bkg_Measure,Exp_Result,Act_Result,Difference,Diameter,Diam_Flag,Bkg_SD,Spot_SD
slide17_original_50ms__20180509004422,A1,1,1,1,FIDUCIALS,,fiducial,255:244,258:243,322,41,0,281,NaN,200,OK,33,451.435837
slide17_original_50ms__20180509004422,A1,1,2,1,PBST,,blank,255:275,259:272,57,63,0,-6,NaN,200,,180,33.377002
slide17_original_50ms__20180509004422,A1,1,3,1,PBST,,blank,255:307,251:301,46,40,0,6,NaN,200,,30,28.3362
slide17_original_50ms__20180509004422,A1,1,4,1,PBST,,blank,255:339,255:339,87,52,0,35,NaN,200,OK,34,45.070877
slide17_original_50ms__20180509004422,A1,1,5,1,PBST,,blank,255:371,254:371,56,47,0,9,NaN,200,OK,62,25.158088
slide17_original_50ms__20180509004422,A1,1,6,1,FIDUCIALS,,fiducial,255:403,256:402,1646,45,0,1601,NaN,200,OK,25,1705.105142
slide17_original_50ms__20180509004422,A1,1,7,1,PBST,,blank,255:435,259:430,54,61,0,-7,NaN,200,OK,502,23.963215
slide17_original_50ms__20180509004422,A1,1,8,1,PBST,,blank,255:467,256:465,61,58,0,3,NaN,200,OK,34,27.795339
slide17_original_50ms__20180509004422,A1,1,9,1,PBST,,blank,255:498,253:498,60,63,0,-3,NaN,200,OK,55,26.192874
slide17_original_50ms__20180509004422,A1,1,10,1,FIDUCIALS,,fiducial,255:530,254:529,2133,67,0,2066,NaN,200,OK,33,2200.490867
slide17_original_50ms__20180509004422,A1,1,11,1,PBST,,blank,255:562,253:561,70,66,0,4,NaN,200,OK,109,29.36186
slide17_original_50ms__20180509004422,A1,1,12,1,PBST,,blank,255:594,253:595,68,69,0,-1,NaN,200,OK,62,31.488992
slide17_original_50ms__20180509004422,A1,1,13,1,FIDUCIALS,,fiducial,255:626,255:625,1088,80,0,1008,NaN,200,OK,60,1108.750976
slide17_original_50ms__20180509004422,A1,1,14,1,PBST,,blank,255:658,257:655,68,75,0,-7,NaN,200,OK,149,29.509453
slide17_original_50ms__20180509004422,A1,1,15,1,PBST,,blank,255:689,250:685,60,49,0,11,NaN,200,OK,29,44.831829
slide17_original_50ms__20180509004422,A1,1,16,1,PBST,,blank,255:721,256:717,69,73,0,-4,NaN,200,,66,32.706712
slide17_original_50ms__20180509004422,A1,1,17,1,PBST,,blank,255:753,254:748,57,63,0,-6,NaN,200,,38,21.227275
slide17_original_50ms__20180509004422,A1,1,18,1,FIDUCIALS,,fiducial,255:785,253:785,2314,69,0,2245,NaN,200,OK,42,1899.658203
slide17_original_50ms__20180509004422,A1,1,1,2,PBST,,Analyte,287:244,286:242,51,60,0,-9,NaN,200,,103,27.051033
slide17_original_50ms__20180509004422,A1,1,2,2,IgG Mix 1,,Analyte,287:275,287:276,1932,83,0,1849,NaN,200,OK,155,1476.565614
slide17_original_50ms__20180509004422,A1,1,3,2,IgG Mix 0.3,,Analyte,287:307,287:307,750,80,0,670,NaN,200,OK,231,620.943193
slide17_original_50ms__20180509004422,A1,1,4,2,PBST,,Analyte,287:339,289:340,118,84,0,34,NaN,200,,719,44.868492
slide17_original_50ms__20180509004422,A1,1,5,2,Hu IgA 0.3,,Analyte,287:371,287:372,1341,62,0,1279,NaN,200,OK,37,1253.708667
slide17_original_50ms__20180509004422,A1,1,6,2,Hu IgA 0.1,,Analyte,287:403,287:403,416,76,0,340,NaN,200,OK,112,435.299026
slide17_original_50ms__20180509004422,A1,1,7,2,PBST,,Analyte,287:435,280:433,55,68,0,-13,NaN,200,,42,22.867896
slide17_original_50ms__20180509004422,A1,1,8,2,Hu IgM 0.3,,Analyte,287:467,287:466,569,72,0,497,NaN,200,OK,77,590.694739
slide17_original_50ms__20180509004422,A1,1,9,2,Hu IgM 0.1,,Analyte,287:498,287:499,422,77,0,345,NaN,200,OK,82,336.334164
slide17_original_50ms__20180509004422,A1,1,10,2,PBST,,Analyte,287:530,287:530,117,84,0,33,NaN,200,OK,58,45.825261
slide17_original_50ms__20180509004422,A1,1,11,2,PBST,,Analyte,287:562,290:561,96,89,0,7,NaN,200,,2369,52.730708
slide17_original_50ms__20180509004422,A1,1,12,2,NoDNA,,Analyte,287:594,287:594,450,90,0,360,NaN,200,OK,61,182.378187
slide17_original_50ms__20180509004422,A1,1,13,2,NoDNA,,Analyte,287:626,286:626,625,111,0,514,NaN,200,OK,71,188.170038
slide17_original_50ms__20180509004422,A1,1,14,2,NoDNA,,Analyte,287:658,286:657,560,109,0,451,NaN,200,OK,120,197.942695
slide17_original_50ms__20180509004422,A1,1,15,2,NoDNA,,Analyte,287:689,286:689,508,76,0,432,NaN,200,OK,87,209.854238
slide17_original_50ms__20180509004422,A1,1,16,2,NoDNA,,Analyte,287:721,286:720,629,114,0,515,NaN,200,OK,94,191.20351
slide17_original_50ms__20180509004422,A1,1,17,2,NoDNA,,Analyte,287:753,286:753,568,95,0,473,NaN,200,OK,141,206.526434
slide17_original_50ms__20180509004422,A1,1,18,2,NoDNA,,Analyte,287:785,286:785,612,101,0,511,NaN,200,OK,89,255.265908
slide17_original_50ms__20180509004422,A1,1,1,3,PF10_0138-s1,,Analyte,319:244,320:245,4747,91,0,4656,NaN,200,OK,478,2423.316821
slide17_original_50ms__20180509004422,A1,1,2,3,PFB0915w-e2s1,,Analyte,319:275,320:277,12916,202,0,12714,NaN,200,OK,467,5546.961946
slide17_original_50ms__20180509004422,A1,1,3,3,PFB0310c-e1,,Analyte,319:307,319:309,8155,214,0,7941,NaN,200,OK,972,4130.223034
slide17_original_50ms__20180509004422,A1,1,4,3,PF10_0019.1o1,,Analyte,319:339,320:340,6550,247,0,6303,NaN,200,OK,653,1282.478201
slide17_original_50ms__20180509004422,A1,1,5,3,PF11_0395e1s4,,Analyte,319:371,320:371,843,127,0,716,NaN,200,OK,1191,305.030858
slide17_original_50ms__20180509004422,A1,1,6,3,PF14_0114.1o1,,Analyte,319:403,320:404,1609,96,0,1513,NaN,200,OK,84,685.848055
slide17_original_50ms__20180509004422,A1,1,7,3,PFL1745ce2s1,,Analyte,319:435,319:435,760,106,0,654,NaN,200,OK,200,309.984006
slide17_original_50ms__20180509004422,A1,1,8,3,PFL0440ce1s1,,Analyte,319:467,319:467,1964,103,0,1861,NaN,200,OK,95,809.587516
slide17_original_50ms__20180509004422,A1,1,9,3,PFI0170we1s1,,Analyte,319:498,319:499,2213,123,0,2090,NaN,200,OK,234,1096.138066
slide17_original_50ms__20180509004422,A1,1,10,3,PF13_0350,,Analyte,319:530,319:531,933,137,0,796,NaN,200,OK,472,370.968827
slide17_original_50ms__20180509004422,A1,1,11,3,PFI1735c(PFE1590w),,Analyte,319:562,318:564,11850,231,0,11619,NaN,200,OK,158,4147.758411
slide17_original_50ms__20180509004422,A1,1,12,3,PFL0185c-e3,,Analyte,319:594,318:595,1063,170,0,893,NaN,200,OK,1188,436.32908
slide17_original_50ms__20180509004422,A1,1,13,3,PF14_0316e1s1,,Analyte,319:626,319:626,2109,151,0,1958,NaN,200,OK,149,1100.047334
slide17_original_50ms__20180509004422,A1,1,14,3,PFL0555ce1s1,,Analyte,319:658,318:658,1634,131,0,1503,NaN,200,OK,203,808.169174
